Date,City,Spending Group,Spending Subgroup,Treasury Spend Subgroup,Treausry Spend Group,Amount
Dec 2023,"Seattle City, Washington",Economic and Workforce Development,Neighborhood/Downtown Revitalization,Strong Healthy Communities: Neighborhood Features that Promote Health and Safety,Negative Economic Impacts,2500000.00
Dec 2023,"Seattle City, Washington",Community Aid,Nonprofit Support,Long-Term Housing Security: Affordable Housing,Negative Economic Impacts,3000000.00
Dec 2023,"Seattle City, Washington",Community Aid,Nutrition and Food Assistance,Household Assistance: Food Programs,Negative Economic Impacts,0.00
Dec 2023,"Seattle City, Washington",Community Aid,Nutrition and Food Assistance,Household Assistance: Food Programs,Negative Economic Impacts,690000.00
Dec 2023,"Seattle City, Washington",Community Aid,Nutrition and Food Assistance,Household Assistance: Food Programs,Negative Economic Impacts,4200000.00
Dec 2023,"Seattle City, Washington",Community Aid,Nutrition and Food Assistance,Household Assistance: Food Programs,Negative Economic Impacts,308000.00
Dec 2023,"Seattle City, Washington",Community Aid,Other Community Aid,Assistance to Unemployed or Underemployed Workers (e.g. job training subsidized employment employment supports or incentives),Negative Economic Impacts,25000.00
Dec 2023,"Seattle City, Washington",Infrastructure,Public Space,Strong Healthy Communities: Neighborhood Features that Promote Health and Safety,Negative Economic Impacts,600000.00
Dec 2023,"Seattle City, Washington",Infrastructure,Public Space,Strong Healthy Communities: Neighborhood Features that Promote Health and Safety,Negative Economic Impacts,378694.92
Dec 2023,"Seattle City, Washington",Infrastructure,Public Space,Other Public Health Services,Public Health,4208860.00
Dec 2023,"Seattle City, Washington",Infrastructure,Public Space,Other Public Health Services,Public Health,955824.00
Dec 2023,"Seattle City, Washington",Infrastructure,Public Space,Other Public Health Services,Public Health,4186472.00
Dec 2023,"Seattle City, Washington",Economic and Workforce Development,Small Business Support,Loans or Grants to Mitigate Financial Hardship,Negative Economic Impacts,2319604.81
Dec 2023,"Seattle City, Washington",Economic and Workforce Development,Small Business Support,Loans or Grants to Mitigate Financial Hardship,Negative Economic Impacts,3200272.96
Dec 2023,"Seattle City, Washington",Economic and Workforce Development,Small Business Support,Private Sector: Grants to other employers,Premium Pay,2951593.00
Dec 2023,"Seattle City, Washington",Economic and Workforce Development,Small Business Support,Technical Assistance Counseling or Business Planning,Negative Economic Impacts,509538.71
Dec 2023,"Seattle City, Washington",Economic and Workforce Development,Small Business Support,Technical Assistance Counseling or Business Planning,Negative Economic Impacts,230018.51
Dec 2023,"Seattle City, Washington",Economic and Workforce Development,Small Business Support,Technical Assistance Counseling or Business Planning,Negative Economic Impacts,188309.79
Dec 2023,"Seattle City, Washington",Economic and Workforce Development,Small Business Support,Technical Assistance Counseling or Business Planning,Negative Economic Impacts,306878.54
Dec 2023,"Seattle City, Washington",Economic and Workforce Development,Small Business Support,Aid to Other Impacted Industries,Negative Economic Impacts,338074.54
Dec 2023,"Seattle City, Washington",Economic and Workforce Development,Small Business Support,Rehabilitation of Commercial Properties or Other Improvements,Negative Economic Impacts,1913996.93
Dec 2023,"Seattle City, Washington",Economic and Workforce Development,Small Business Support,Technical Assistance Counseling or Business Planning,Negative Economic Impacts,500000.00
Dec 2023,"Seattle City, Washington",Economic and Workforce Development,Small Business Support,Loans or Grants to Mitigate Financial Hardship,Negative Economic Impacts,6000000.00
Dec 2023,"Seattle City, Washington",Economic and Workforce Development,Small Business Support,Loans or Grants to Mitigate Financial Hardship,Negative Economic Impacts,1933786.13
Dec 2023,"Seattle City, Washington",Economic and Workforce Development,Tourism and Hospitality,Aid to Tourism Travel or Hospitality,Negative Economic Impacts,59500.00
Dec 2023,"Seattle City, Washington",Economic and Workforce Development,Tourism and Hospitality,Assistance to Impacted Nonprofit Organizations (Impacted or Disproportionately Impacted),Negative Economic Impacts,140500.00
Dec 2023,"Seattle City, Washington",Public Safety,Violence Reduction and Prevention,Assistance to Unemployed or Underemployed Workers (e.g. job training subsidized employment employment supports or incentives),Negative Economic Impacts,250000.00
Dec 2023,"Seattle City, Washington",Public Safety,Violence Reduction and Prevention,Community Violence Interventions,Public Health,600000.00
Dec 2023,"Seattle City, Washington",Economic and Workforce Development,Workforce Development,Assistance to Unemployed or Underemployed Workers (e.g. job training subsidized employment employment supports or incentives),Negative Economic Impacts,450000.00
Dec 2023,"Seattle City, Washington",Economic and Workforce Development,Workforce Development,Assistance to Unemployed or Underemployed Workers (e.g. job training subsidized employment employment supports or incentives),Negative Economic Impacts,986315.23
Dec 2023,"Seattle City, Washington",Economic and Workforce Development,Workforce Development,Assistance to Unemployed or Underemployed Workers (e.g. job training subsidized employment employment supports or incentives),Negative Economic Impacts,300000.00
Dec 2023,"Seattle City, Washington",Economic and Workforce Development,Workforce Development,Assistance to Unemployed or Underemployed Workers (e.g. job training subsidized employment employment supports or incentives),Negative Economic Impacts,293203.85
Dec 2023,"Seattle City, Washington",Community Aid,Youth and Family Support,Economic Impact Assistance: Other,Negative Economic Impacts,104624.00
Dec 2023,"Seattle City, Washington",Community Aid,Youth and Family Support,Healthy Childhood Environments: Child Care,Negative Economic Impacts,5000000.00
Dec 2023,"Seattle City, Washington",Community Aid,Youth and Family Support,Healthy Childhood Environments: Child Care,Negative Economic Impacts,1000000.00
Dec 2023,"Seattle City, Washington",Economic and Workforce Development,Youth Workforce Development,Economic Impact Assistance: Other,Negative Economic Impacts,6357890.88
Apr 2024,"Seattle City, Washington",Community Aid,Arts and Culture,Aid to Other Impacted Industries,Negative Economic Impacts,500000.00
Apr 2024,"Seattle City, Washington",Community Aid,Arts and Culture,Aid to Other Impacted Industries,Negative Economic Impacts,2225000.00
Apr 2024,"Seattle City, Washington",Community Aid,Other Community Aid,Assistance to Unemployed or Underemployed Workers (e.g. job training subsidized employment employment supports or incentives),Negative Economic Impacts,25000.00
Apr 2024,"Seattle City, Washington",Public Safety,Violence Reduction and Prevention,Assistance to Unemployed or Underemployed Workers (e.g. job training subsidized employment employment supports or incentives),Negative Economic Impacts,250000.00
Apr 2024,"Seattle City, Washington",Community Aid,Arts and Culture,Aid to Other Impacted Industries,Negative Economic Impacts,375000.00
Apr 2024,"Seattle City, Washington",Government Operations Investments,Government Employee Wages or Hiring,Public Sector Capacity: Effective Service Delivery,Public Health-Negative Economic Impact: Public Sector Capacity,1105000.00
Apr 2024,"Seattle City, Washington",Government Operations Investments,"Investment in Government Facility, Equipment, and/or IT",Public Sector Capacity: Effective Service Delivery,Public Health-Negative Economic Impact: Public Sector Capacity,920995.00
Apr 2024,"Seattle City, Washington",Economic and Workforce Development,Tourism and Hospitality,Aid to Tourism Travel or Hospitality,Negative Economic Impacts,59500.00
Apr 2024,"Seattle City, Washington",Economic and Workforce Development,Tourism and Hospitality,Assistance to Impacted Nonprofit Organizations (Impacted or Disproportionately Impacted),Negative Economic Impacts,140500.00
Apr 2024,"Seattle City, Washington",Economic and Workforce Development,Workforce Development,Assistance to Unemployed or Underemployed Workers (e.g. job training subsidized employment employment supports or incentives),Negative Economic Impacts,450000.00
Apr 2024,"Seattle City, Washington",Public Health,COVID Response,Prevention in Congregate Settings (Nursing Homes Prisons/Jails Dense Work Sites Schools Child care facilities etc.),Public Health,183628.00
Apr 2024,"Seattle City, Washington",Community Aid,Youth and Family Support,Economic Impact Assistance: Other,Negative Economic Impacts,104624.00
Apr 2024,"Seattle City, Washington",Community Aid,Youth and Family Support,Healthy Childhood Environments: Child Care,Negative Economic Impacts,5000000.00
Apr 2024,"Seattle City, Washington",Public Health,Mental Health,Mental Health Services,Public Health,546540.00
Apr 2024,"Seattle City, Washington",Public Safety,Violence Reduction and Prevention,Community Violence Interventions,Public Health,600000.00
Apr 2024,"Seattle City, Washington",Housing,Homelessness,Housing Support: Other Housing Assistance,Negative Economic Impacts,0.00
Apr 2024,"Seattle City, Washington",Housing,Homelessness,Long-Term Housing Security: Services for Unhoused persons,Negative Economic Impacts,1743135.00
Apr 2024,"Seattle City, Washington",Housing,Homelessness,Long-Term Housing Security: Services for Unhoused persons,Negative Economic Impacts,3158571.00
Apr 2024,"Seattle City, Washington",Housing,Homelessness,Long-Term Housing Security: Services for Unhoused persons,Negative Economic Impacts,31311262.00
Apr 2024,"Seattle City, Washington",Housing,Homelessness,Long-Term Housing Security: Services for Unhoused persons,Negative Economic Impacts,0.00
Apr 2024,"Seattle City, Washington",Housing,Homelessness,Long-Term Housing Security: Services for Unhoused persons,Negative Economic Impacts,400000.00
Apr 2024,"Seattle City, Washington",Government Operations Investments,"Investment in Government Facility, Equipment, and/or IT",Public Sector Capacity: Effective Service Delivery,Public Health-Negative Economic Impact: Public Sector Capacity,1657632.00
Apr 2024,"Seattle City, Washington",Economic and Workforce Development,Workforce Development,Assistance to Unemployed or Underemployed Workers (e.g. job training subsidized employment employment supports or incentives),Negative Economic Impacts,986315.20
Apr 2024,"Seattle City, Washington",Economic and Workforce Development,Workforce Development,Assistance to Unemployed or Underemployed Workers (e.g. job training subsidized employment employment supports or incentives),Negative Economic Impacts,300000.00
Apr 2024,"Seattle City, Washington",Economic and Workforce Development,Small Business Support,Loans or Grants to Mitigate Financial Hardship,Negative Economic Impacts,2319605.00
Apr 2024,"Seattle City, Washington",Economic and Workforce Development,Small Business Support,Loans or Grants to Mitigate Financial Hardship,Negative Economic Impacts,3200273.00
Apr 2024,"Seattle City, Washington",Economic and Workforce Development,Small Business Support,Technical Assistance Counseling or Business Planning,Negative Economic Impacts,509538.70
Apr 2024,"Seattle City, Washington",Economic and Workforce Development,Small Business Support,Technical Assistance Counseling or Business Planning,Negative Economic Impacts,230018.50
Apr 2024,"Seattle City, Washington",Economic and Workforce Development,Small Business Support,Technical Assistance Counseling or Business Planning,Negative Economic Impacts,188309.80
Apr 2024,"Seattle City, Washington",Community Aid,Arts and Culture,Aid to Other Impacted Industries,Negative Economic Impacts,120000.00
Apr 2024,"Seattle City, Washington",Economic and Workforce Development,Small Business Support,Technical Assistance Counseling or Business Planning,Negative Economic Impacts,306878.50
Apr 2024,"Seattle City, Washington",Economic and Workforce Development,Small Business Support,Technical Assistance Counseling or Business Planning,Negative Economic Impacts,500000.00
Apr 2024,"Seattle City, Washington",Economic and Workforce Development,Small Business Support,Aid to Other Impacted Industries,Negative Economic Impacts,338074.50
Apr 2024,"Seattle City, Washington",Economic and Workforce Development,Small Business Support,Rehabilitation of Commercial Properties or Other Improvements,Negative Economic Impacts,1913997.00
Apr 2024,"Seattle City, Washington",Economic and Workforce Development,Small Business Support,Loans or Grants to Mitigate Financial Hardship,Negative Economic Impacts,6000000.00
Apr 2024,"Seattle City, Washington",Economic and Workforce Development,Workforce Development,Assistance to Unemployed or Underemployed Workers (e.g. job training subsidized employment employment supports or incentives),Negative Economic Impacts,293203.90
Apr 2024,"Seattle City, Washington",Community Aid,Nonprofit Support,Long-Term Housing Security: Affordable Housing,Negative Economic Impacts,3000000.00
Apr 2024,"Seattle City, Washington",Housing,Affordable Housing,Long-Term Housing Security: Affordable Housing,Negative Economic Impacts,16300000.00
Apr 2024,"Seattle City, Washington",Public Health,COVID Response,COVID-19 Assistance to Small Businesses,Public Health,300000.00
Apr 2024,"Seattle City, Washington",Community Aid,Youth and Family Support,Healthy Childhood Environments: Child Care,Negative Economic Impacts,1000000.00
Apr 2024,"Seattle City, Washington",Infrastructure,Public Space,Strong Healthy Communities: Neighborhood Features that Promote Health and Safety,Negative Economic Impacts,600000.00
Apr 2024,"Seattle City, Washington",Government Operations Investments,"Investment in Government Facility, Equipment, and/or IT",Public Sector Capacity: Effective Service Delivery,Public Health-Negative Economic Impact: Public Sector Capacity,1050000.00
Apr 2024,"Seattle City, Washington",Infrastructure,Public Space,Strong Healthy Communities: Neighborhood Features that Promote Health and Safety,Negative Economic Impacts,378694.90
Apr 2024,"Seattle City, Washington",Government Operations Investments,Government Employee Wages or Hiring,Public Sector Workforce: Rehiring Public Sector Staff,Public Health-Negative Economic Impact: Public Sector Capacity,6260000.00
Apr 2024,"Seattle City, Washington",Government Operations Investments,Government Employee Wages or Hiring,Public Sector Workforce: Rehiring Public Sector Staff,Public Health-Negative Economic Impact: Public Sector Capacity,465317.00
Apr 2024,"Seattle City, Washington",Community Aid,Nutrition and Food Assistance,Household Assistance: Food Programs,Negative Economic Impacts,690000.00
Apr 2024,"Seattle City, Washington",Infrastructure,Broadband,Household Assistance: Internet Access Programs,Negative Economic Impacts,500000.00
Apr 2024,"Seattle City, Washington",Economic and Workforce Development,Youth Workforce Development,Economic Impact Assistance: Other,Negative Economic Impacts,6357891.00
Apr 2024,"Seattle City, Washington",Economic and Workforce Development,Small Business Support,Private Sector: Grants to other employers,Premium Pay,2951593.00
Apr 2024,"Seattle City, Washington",Government Operations Investments,"Investment in Government Facility, Equipment, and/or IT",Other COVID-19 Public Health Expenses (including Communications Enforcement Isolation/Quarantine),Public Health,2700000.00
Apr 2024,"Seattle City, Washington",Government Operations Investments,"Investment in Government Facility, Equipment, and/or IT",Other COVID-19 Public Health Expenses (including Communications Enforcement Isolation/Quarantine),Public Health,1500000.00
Apr 2024,"Seattle City, Washington",Public Health,COVID Response,Other COVID-19 Public Health Expenses (including Communications Enforcement Isolation/Quarantine),Public Health,255200.00
Apr 2024,"Seattle City, Washington",Economic and Workforce Development,Neighborhood/Downtown Revitalization,Strong Healthy Communities: Neighborhood Features that Promote Health and Safety,Negative Economic Impacts,2500000.00
Apr 2024,"Seattle City, Washington",Government Operations Investments,Fiscal Health Recovery,Provision of Government Services,Revenue Replacement,26670000.00
Apr 2024,"Seattle City, Washington",Government Operations Investments,Government Employee Wages or Hiring,Administrative Expenses,Administrative,2072024.00
Apr 2024,"Seattle City, Washington",Government Operations Investments,Government Employee Wages or Hiring,Administrative Expenses,Administrative,1411000.00
Apr 2024,"Seattle City, Washington",Community Aid,Nutrition and Food Assistance,Household Assistance: Food Programs,Negative Economic Impacts,4200000.00
Apr 2024,"Seattle City, Washington",Government Operations Investments,Government Employee Wages or Hiring,Administrative Expenses,Administrative,268592.00
Apr 2024,"Seattle City, Washington",Community Aid,Nutrition and Food Assistance,Household Assistance: Food Programs,Negative Economic Impacts,308000.00
Apr 2024,"Seattle City, Washington",Public Health,COVID Response,Other COVID-19 Public Health Expenses (including Communications Enforcement Isolation/Quarantine),Public Health,295000.00
Apr 2024,"Seattle City, Washington",Infrastructure,Public Space,Other Public Health Services,Public Health,4186472.00
Apr 2024,"Seattle City, Washington",Infrastructure,Public Space,Other Public Health Services,Public Health,955824.00
Apr 2024,"Seattle City, Washington",Community Aid,Nutrition and Food Assistance,Household Assistance: Food Programs,Negative Economic Impacts,0.00
Apr 2024,"Seattle City, Washington",Infrastructure,Public Space,Other Public Health Services,Public Health,4208860.00
Apr 2024,"Seattle City, Washington",Government Operations Investments,Fiscal Health Recovery,Provision of Government Services,Revenue Replacement,71060772.00
Apr 2024,"Seattle City, Washington",Economic and Workforce Development,Small Business Support,Loans or Grants to Mitigate Financial Hardship,Negative Economic Impacts,1933786.00
Jul 2024,"Seattle City, Washington",Infrastructure,Public Space,Other Public Health Services,Public Health,4186472.00
Jul 2024,"Seattle City, Washington",Public Health,COVID Response,Other COVID-19 Public Health Expenses (including Communications Enforcement Isolation/Quarantine),Public Health,295000.00
Jul 2024,"Seattle City, Washington",Infrastructure,Public Space,Other Public Health Services,Public Health,955824.00
Jul 2024,"Seattle City, Washington",Community Aid,Nutrition and Food Assistance,Household Assistance: Food Programs,Negative Economic Impacts,308000.00
Jul 2024,"Seattle City, Washington",Government Operations Investments,Government Employee Wages or Hiring,Administrative Expenses,Administrative,268592.00
Jul 2024,"Seattle City, Washington",Community Aid,Nutrition and Food Assistance,Household Assistance: Food Programs,Negative Economic Impacts,4200000.00
Jul 2024,"Seattle City, Washington",Government Operations Investments,Government Employee Wages or Hiring,Administrative Expenses,Administrative,1411000.00
Jul 2024,"Seattle City, Washington",Government Operations Investments,Government Employee Wages or Hiring,Administrative Expenses,Administrative,2072024.00
Jul 2024,"Seattle City, Washington",Community Aid,Nutrition and Food Assistance,Household Assistance: Food Programs,Negative Economic Impacts,0.00
Jul 2024,"Seattle City, Washington",Infrastructure,Public Space,Other Public Health Services,Public Health,4208860.00
Jul 2024,"Seattle City, Washington",Government Operations Investments,Fiscal Health Recovery,Provision of Government Services,Revenue Replacement,71060771.89
Jul 2024,"Seattle City, Washington",Economic and Workforce Development,Youth Workforce Development,Economic Impact Assistance: Other,Negative Economic Impacts,6357890.88
Jul 2024,"Seattle City, Washington",Government Operations Investments,Government Employee Wages or Hiring,Public Sector Workforce: Rehiring Public Sector Staff,Public Health-Negative Economic Impact: Public Sector Capacity,465317.00
Jul 2024,"Seattle City, Washington",Government Operations Investments,Government Employee Wages or Hiring,Public Sector Workforce: Rehiring Public Sector Staff,Public Health-Negative Economic Impact: Public Sector Capacity,6260000.00
Jul 2024,"Seattle City, Washington",Infrastructure,Public Space,Strong Healthy Communities: Neighborhood Features that Promote Health and Safety,Negative Economic Impacts,378694.92
Jul 2024,"Seattle City, Washington",Government Operations Investments,"Investment in Government Facility, Equipment, and/or IT",Public Sector Capacity: Effective Service Delivery,Public Health-Negative Economic Impact: Public Sector Capacity,1050000.00
Jul 2024,"Seattle City, Washington",Infrastructure,Public Space,Strong Healthy Communities: Neighborhood Features that Promote Health and Safety,Negative Economic Impacts,600000.00
Jul 2024,"Seattle City, Washington",Community Aid,Youth and Family Support,Healthy Childhood Environments: Child Care,Negative Economic Impacts,1000000.00
Jul 2024,"Seattle City, Washington",Public Health,COVID Response,COVID-19 Assistance to Small Businesses,Public Health,300000.00
Jul 2024,"Seattle City, Washington",Housing,Affordable Housing,Long-Term Housing Security: Affordable Housing,Negative Economic Impacts,16300000.00
Jul 2024,"Seattle City, Washington",Community Aid,Nonprofit Support,Long-Term Housing Security: Affordable Housing,Negative Economic Impacts,3000000.00
Jul 2024,"Seattle City, Washington",Economic and Workforce Development,Workforce Development,Assistance to Unemployed or Underemployed Workers (e.g. job training subsidized employment employment supports or incentives),Negative Economic Impacts,293203.85
Jul 2024,"Seattle City, Washington",Economic and Workforce Development,Small Business Support,Loans or Grants to Mitigate Financial Hardship,Negative Economic Impacts,5923247.00
Jul 2024,"Seattle City, Washington",Economic and Workforce Development,Small Business Support,Rehabilitation of Commercial Properties or Other Improvements,Negative Economic Impacts,1958718.87
Jul 2024,"Seattle City, Washington",Economic and Workforce Development,Small Business Support,Aid to Other Impacted Industries,Negative Economic Impacts,338074.54
Jul 2024,"Seattle City, Washington",Economic and Workforce Development,Small Business Support,Technical Assistance Counseling or Business Planning,Negative Economic Impacts,497692.00
Jul 2024,"Seattle City, Washington",Economic and Workforce Development,Small Business Support,Technical Assistance Counseling or Business Planning,Negative Economic Impacts,306878.54
Jul 2024,"Seattle City, Washington",Community Aid,Arts and Culture,Aid to Other Impacted Industries,Negative Economic Impacts,110558.21
Jul 2024,"Seattle City, Washington",Economic and Workforce Development,Small Business Support,Technical Assistance Counseling or Business Planning,Negative Economic Impacts,233333.14
Jul 2024,"Seattle City, Washington",Economic and Workforce Development,Small Business Support,Technical Assistance Counseling or Business Planning,Negative Economic Impacts,217045.00
Jul 2024,"Seattle City, Washington",Economic and Workforce Development,Small Business Support,Technical Assistance Counseling or Business Planning,Negative Economic Impacts,506945.09
Jul 2024,"Seattle City, Washington",Economic and Workforce Development,Small Business Support,Loans or Grants to Mitigate Financial Hardship,Negative Economic Impacts,3200272.96
Jul 2024,"Seattle City, Washington",Economic and Workforce Development,Small Business Support,Loans or Grants to Mitigate Financial Hardship,Negative Economic Impacts,2355675.23
Jul 2024,"Seattle City, Washington",Economic and Workforce Development,Workforce Development,Assistance to Unemployed or Underemployed Workers (e.g. job training subsidized employment employment supports or incentives),Negative Economic Impacts,278254.21
Jul 2024,"Seattle City, Washington",Economic and Workforce Development,Workforce Development,Assistance to Unemployed or Underemployed Workers (e.g. job training subsidized employment employment supports or incentives),Negative Economic Impacts,986315.23
Jul 2024,"Seattle City, Washington",Government Operations Investments,"Investment in Government Facility, Equipment, and/or IT",Public Sector Capacity: Effective Service Delivery,Public Health-Negative Economic Impact: Public Sector Capacity,1657632.31
Jul 2024,"Seattle City, Washington",Housing,Homelessness,Long-Term Housing Security: Services for Unhoused persons,Negative Economic Impacts,400000.00
Jul 2024,"Seattle City, Washington",Housing,Homelessness,Long-Term Housing Security: Services for Unhoused persons,Negative Economic Impacts,0.00
Jul 2024,"Seattle City, Washington",Housing,Homelessness,Long-Term Housing Security: Services for Unhoused persons,Negative Economic Impacts,31311262.14
Jul 2024,"Seattle City, Washington",Housing,Homelessness,Long-Term Housing Security: Services for Unhoused persons,Negative Economic Impacts,3158570.86
Jul 2024,"Seattle City, Washington",Housing,Homelessness,Long-Term Housing Security: Services for Unhoused persons,Negative Economic Impacts,1743135.00
Jul 2024,"Seattle City, Washington",Housing,Homelessness,Housing Support: Other Housing Assistance,Negative Economic Impacts,0.00
Jul 2024,"Seattle City, Washington",Public Safety,Violence Reduction and Prevention,Community Violence Interventions,Public Health,600000.00
Jul 2024,"Seattle City, Washington",Public Health,Mental Health,Mental Health Services,Public Health,546540.00
Jul 2024,"Seattle City, Washington",Community Aid,Youth and Family Support,Healthy Childhood Environments: Child Care,Negative Economic Impacts,5000000.00
Jul 2024,"Seattle City, Washington",Community Aid,Youth and Family Support,Economic Impact Assistance: Other,Negative Economic Impacts,104624.00
Jul 2024,"Seattle City, Washington",Public Health,COVID Response,Prevention in Congregate Settings (Nursing Homes Prisons/Jails Dense Work Sites Schools Child care facilities etc.),Public Health,183628.00
Jul 2024,"Seattle City, Washington",Economic and Workforce Development,Workforce Development,Assistance to Unemployed or Underemployed Workers (e.g. job training subsidized employment employment supports or incentives),Negative Economic Impacts,450000.00
Jul 2024,"Seattle City, Washington",Economic and Workforce Development,Tourism and Hospitality,Assistance to Impacted Nonprofit Organizations (Impacted or Disproportionately Impacted),Negative Economic Impacts,140500.00
Jul 2024,"Seattle City, Washington",Economic and Workforce Development,Tourism and Hospitality,Aid to Tourism Travel or Hospitality,Negative Economic Impacts,59500.00
Jul 2024,"Seattle City, Washington",Government Operations Investments,"Investment in Government Facility, Equipment, and/or IT",Public Sector Capacity: Effective Service Delivery,Public Health-Negative Economic Impact: Public Sector Capacity,920995.00
Jul 2024,"Seattle City, Washington",Government Operations Investments,Government Employee Wages or Hiring,Public Sector Capacity: Effective Service Delivery,Public Health-Negative Economic Impact: Public Sector Capacity,1105000.00
Jul 2024,"Seattle City, Washington",Community Aid,Arts and Culture,Aid to Other Impacted Industries,Negative Economic Impacts,375000.00
Jul 2024,"Seattle City, Washington",Public Safety,Violence Reduction and Prevention,Assistance to Unemployed or Underemployed Workers (e.g. job training subsidized employment employment supports or incentives),Negative Economic Impacts,250000.00
Jul 2024,"Seattle City, Washington",Community Aid,Other Community Aid,Assistance to Unemployed or Underemployed Workers (e.g. job training subsidized employment employment supports or incentives),Negative Economic Impacts,25000.00
Jul 2024,"Seattle City, Washington",Community Aid,Arts and Culture,Aid to Other Impacted Industries,Negative Economic Impacts,2225000.00
Jul 2024,"Seattle City, Washington",Community Aid,Arts and Culture,Aid to Other Impacted Industries,Negative Economic Impacts,500000.00
Jul 2024,"Seattle City, Washington",Government Operations Investments,Fiscal Health Recovery,Provision of Government Services,Revenue Replacement,26670000.00
Jul 2024,"Seattle City, Washington",Economic and Workforce Development,Neighborhood/Downtown Revitalization,Strong Healthy Communities: Neighborhood Features that Promote Health and Safety,Negative Economic Impacts,2500000.00
Jul 2024,"Seattle City, Washington",Public Health,COVID Response,Other COVID-19 Public Health Expenses (including Communications Enforcement Isolation/Quarantine),Public Health,255200.00
Jul 2024,"Seattle City, Washington",Government Operations Investments,"Investment in Government Facility, Equipment, and/or IT",Other COVID-19 Public Health Expenses (including Communications Enforcement Isolation/Quarantine),Public Health,1500000.00
Jul 2024,"Seattle City, Washington",Government Operations Investments,"Investment in Government Facility, Equipment, and/or IT",Other COVID-19 Public Health Expenses (including Communications Enforcement Isolation/Quarantine),Public Health,2700000.00
Jul 2024,"Seattle City, Washington",Economic and Workforce Development,Small Business Support,Private Sector: Grants to other employers,Premium Pay,2951593.00
Jul 2024,"Seattle City, Washington",Infrastructure,Broadband,Household Assistance: Internet Access Programs,Negative Economic Impacts,500000.00
Jul 2024,"Seattle City, Washington",Community Aid,Nutrition and Food Assistance,Household Assistance: Food Programs,Negative Economic Impacts,690000.00
Jul 2024,"Seattle City, Washington",Economic and Workforce Development,Small Business Support,Loans or Grants to Mitigate Financial Hardship,Negative Economic Impacts,1933786.13
Aug 2021,City Of Portland Oregon,Economic and Workforce Development,Neighborhood/Downtown Revitalization,Aid to Other Impacted Industries,Negative Economic Impacts,765000.00
Aug 2021,City Of Portland Oregon,Economic and Workforce Development,Neighborhood/Downtown Revitalization,Aid to Other Impacted Industries,Negative Economic Impacts,1496000.00
Aug 2021,City Of Portland Oregon,Economic and Workforce Development,Neighborhood/Downtown Revitalization,Aid to Other Impacted Industries,Negative Economic Impacts,75000.00
Aug 2021,City Of Portland Oregon,Economic and Workforce Development,Neighborhood/Downtown Revitalization,Aid to Other Impacted Industries,Negative Economic Impacts,40000.00
Aug 2021,City Of Portland Oregon,Economic and Workforce Development,Neighborhood/Downtown Revitalization,Aid to Other Impacted Industries,Negative Economic Impacts,250000.00
Aug 2021,City Of Portland Oregon,Housing,Homelessness,Housing Support: Services for Unhoused Persons,Services to Disproportionately Impacted Communities,2400000.00
Aug 2021,City Of Portland Oregon,Community aid,Other Community Aid,Household Assistance: Internet Access Programs,Negative Economic Impacts,3500000.00
Aug 2021,City Of Portland Oregon,Economic and Workforce Development,Neighborhood/Downtown Revitalization,Small Business Economic Assistance (General),Negative Economic Impacts,165000.00
Aug 2021,City Of Portland Oregon,Housing,Eviction Prevention,Household Assistance: Eviction Prevention,Negative Economic Impacts,4700000.00
Aug 2021,City Of Portland Oregon,Economic and Workforce Development,Small Business Support,Small Business Economic Assistance (General),Negative Economic Impacts,3509000.00
Aug 2021,City Of Portland Oregon,Housing,Other Housing,"Household Assistance: Rent, Mortgage, and Utility Aid",Negative Economic Impacts,2500000.00
Aug 2021,City Of Portland Oregon,Housing,Other Housing,Other Economic Support,Negative Economic Impacts,4300000.00
Aug 2021,City Of Portland Oregon,Housing,Homelessness,Housing Support: Services for Unhoused Persons,Services to Disproportionately Impacted Communities,5100000.00
Aug 2021,City Of Portland Oregon,Economic and Workforce Development,Small Business Support,Aid to Nonprofit Organizations,Negative Economic Impacts,700000.00
Aug 2021,City Of Portland Oregon,Community aid,Refugees and Migration,Other Economic Support,Negative Economic Impacts,4000000.00
Aug 2021,City Of Portland Oregon,Economic and Workforce Development,Small Business Support,Small Business Economic Assistance (General),Negative Economic Impacts,1500000.00
Aug 2021,City Of Portland Oregon,Economic and Workforce Development,Neighborhood/Downtown Revitalization,"Aid to Tourism, Travel,or Hospitality",Negative Economic Impacts,425000.00
Aug 2021,City Of Portland Oregon,Government Operations Investments ,Government Employee Wages or Hiring,Small Business Economic Assistance (General),Negative Economic Impacts,950000.00
Aug 2021,City Of Portland Oregon,Economic and Workforce Development,Workforce Development,"Job Training Assistance (e.g., Sectoral job-training, Subsidized Employment, Employment Supports or Incentives)",Negative Economic Impacts,4000000.00
Aug 2021,City Of Portland Oregon,Community aid,Arts and Culture,Aid to Other Impacted Industries,Negative Economic Impacts,2000000.00
Aug 2021,City Of Portland Oregon,Housing,Eviction Prevention,"Household Assistance: Rent, Mortgage, and Utility Aid",Negative Economic Impacts,1500000.00
Aug 2021,City Of Portland Oregon,Government Operations Investments ,Other Government Investment,Administrative Expenses,Administrative,3416646.00
Aug 2021,City Of Portland Oregon,Government Operations Investments ,Fiscal Health Recovery,Provision of Government Services,Revenue Replacement,31136110.00
Aug 2021,City Of Portland Oregon,Housing,Homelessness,Housing Support: Services for Unhoused Persons,Services to Disproportionately Impacted Communities,780000.00
